NPRODUCTO,CONCURSO,F1,F2,F3,F4,F5,F6,F7,BOLSA,FECHA
30,930,2,7,17,22,32,36,27,12000000,2019-04-27
30,929,10,12,18,28,32,37,19,10500000,2019-04-23
30,928,9,12,26,28,31,36,20,9300000,2019-04-20
30,927,4,10,13,14,16,25,6,8300000,2019-04-16
30,926,4,10,30,37,38,39,35,7200000,2019-04-13
30,925,2,3,28,33,38,39,5,6000000,2019-04-09
30,924,4,5,8,15,34,35,32,5300000,2019-04-06
30,923,1,9,19,23,25,29,30,5200000,2019-04-02
30,922,11,13,23,30,31,33,37,5100000,2019-03-30
30,921,1,2,4,6,20,28,18,5000000,2019-03-26
30,920,2,7,8,9,24,28,22,5100000,2019-03-23
30,919,9,13,19,27,33,36,7,5000000,2019-03-19
30,918,2,5,8,25,35,38,39,46500000,2019-03-16
30,917,4,6,13,14,21,32,22,44700000,2019-03-12
30,916,1,6,10,18,32,37,27,42700000,2019-03-09
30,915,9,16,17,20,24,39,13,41000000,2019-03-05
30,914,7,8,11,14,26,38,18,39000000,2019-03-02
30,913,5,6,7,9,25,32,27,37600000,2019-02-26
30,912,7,8,15,16,24,28,18,36000000,2019-02-23
30,911,6,9,10,11,13,21,15,34300000,2019-02-19
30,910,10,20,21,25,35,39,3,32600000,2019-02-16
30,909,5,6,11,20,28,29,17,31000000,2019-02-12
30,908,2,12,13,20,23,29,10,29400000,2019-02-09
30,907,8,9,17,20,25,30,37,27800000,2019-02-05
30,906,7,8,10,19,20,30,29,26000000,2019-02-02
30,905,2,19,23,28,29,35,12,24600000,2019-01-29
30,904,2,5,12,14,25,29,30,23000000,2019-01-26
30,903,9,10,12,21,27,38,26,21600000,2019-01-22
30,902,4,5,6,14,21,35,32,20000000,2019-01-19
30,901,9,11,13,14,23,30,6,18700000,2019-01-15
30,900,17,18,25,27,34,36,1,17300000,2019-01-12
30,899,8,18,24,26,27,39,35,16000000,2019-01-08
30,898,16,20,24,26,27,29,1,14500000,2019-01-05
30,897,4,5,6,8,14,32,38,13000000,2019-01-01
30,896,10,16,28,29,32,33,36,11700000,2018-12-29
30,895,6,8,22,24,30,34,5,10900000,2018-12-25
30,894,2,4,5,8,15,34,13,9600000,2018-12-22
30,893,1,22,25,27,29,33,23,8800000,2018-12-18
30,892,4,15,21,23,25,32,26,7600000,2018-12-15
30,891,2,8,21,22,30,34,9,6400000,2018-12-11
30,890,2,9,10,19,26,30,14,5400000,2018-12-08
30,889,6,9,12,25,33,37,26,5300000,2018-12-04
30,888,7,19,21,28,38,39,6,5200000,2018-12-01
30,887,8,15,19,32,35,37,17,5100000,2018-11-27
30,886,10,12,23,28,35,36,19,5000000,2018-11-24
30,885,1,8,14,15,18,38,31,5000000,2018-11-20
30,884,1,3,15,22,24,27,16,5300000,2018-11-17
30,883,3,13,15,24,30,32,16,5200000,2018-11-13
30,882,1,9,11,22,26,32,6,5100000,2018-11-10
30,881,15,16,21,22,27,29,19,5000000,2018-11-06
30,880,5,19,25,34,35,39,31,5200000,2018-11-03
30,879,15,21,29,34,38,39,32,5100000,2018-10-30
30,878,11,14,16,29,36,37,25,5000000,2018-10-27
30,877,13,14,28,31,33,37,6,11200000,2018-10-23
30,876,18,24,25,28,31,38,9,10000000,2018-10-20
30,875,8,16,20,21,26,36,6,8900000,2018-10-16
30,874,15,20,24,29,31,39,4,7700000,2018-10-13
30,873,9,13,19,26,32,37,6,6600000,2018-10-09
30,872,1,8,13,14,19,35,38,5400000,2018-10-06
30,871,3,7,10,17,18,20,8,5300000,2018-10-02
30,870,10,14,24,26,29,30,32,5200000,2018-09-29
30,869,7,13,16,26,29,39,14,5100000,2018-09-25
30,868,6,9,14,15,16,30,7,5000000,2018-09-22
30,867,1,6,9,11,21,31,5,15900000,2018-09-18
30,866,3,13,19,29,30,38,18,14500000,2018-09-15
30,865,6,10,11,35,37,38,14,13300000,2018-09-11
30,864,3,4,7,25,31,35,11,12000000,2018-09-08
30,863,4,14,24,32,34,39,10,10800000,2018-09-04
30,862,2,13,25,27,29,39,15,9600000,2018-09-01
30,861,2,4,6,21,27,31,25,8500000,2018-08-28
30,860,1,7,12,25,31,34,13,7500000,2018-08-25
30,859,9,14,24,26,31,37,13,6400000,2018-08-21
30,858,7,9,22,26,27,37,35,5400000,2018-08-18
30,857,11,14,18,23,24,30,27,5300000,2018-08-14
30,856,6,21,23,26,29,31,3,5200000,2018-08-11
30,855,2,10,18,19,30,37,31,5100000,2018-08-07
30,854,8,12,15,22,25,37,17,5000000,2018-08-04
30,853,3,15,16,18,25,34,1,5200000,2018-07-31
30,852,6,9,10,17,23,37,14,5100000,2018-07-28
30,851,2,5,16,23,35,36,29,5000000,2018-07-24
30,850,6,7,9,13,14,26,12,22300000,2018-07-21
30,849,1,4,7,11,25,39,24,20900000,2018-07-17
30,848,2,11,14,15,19,26,9,19500000,2018-07-14
30,847,2,18,26,31,33,35,5,18300000,2018-07-10
30,846,2,26,28,31,33,37,21,17000000,2018-07-07
30,845,2,3,4,11,15,29,19,15700000,2018-07-03
30,844,1,9,11,14,32,38,24,14300000,2018-06-30
30,843,15,17,23,25,35,39,3,13000000,2018-06-26
30,842,2,3,12,14,28,39,17,12000000,2018-06-23
30,841,1,8,18,22,26,34,29,10800000,2018-06-19
30,840,8,21,24,30,32,38,28,9500000,2018-06-16
30,839,6,11,18,20,31,35,26,8500000,2018-06-12
30,838,5,6,12,13,15,21,38,7400000,2018-06-09
30,837,4,16,19,29,32,35,11,6200000,2018-06-05
30,836,3,8,13,19,28,32,27,5400000,2018-06-02
30,835,3,12,15,23,32,36,8,5300000,2018-05-29
30,834,7,12,13,16,30,39,22,5200000,2018-05-26
30,833,3,9,25,30,36,39,19,5100000,2018-05-22
30,832,4,12,13,23,24,25,29,5000000,2018-05-19
30,831,6,7,11,27,32,33,34,34700000,2018-05-15
30,830,16,18,26,27,29,38,6,33000000,2018-05-12
30,829,2,11,18,19,27,30,23,31500000,2018-05-08
30,828,1,5,6,24,28,39,16,29800000,2018-05-05
30,827,1,14,18,21,29,39,5,28500000,2018-05-01
30,826,3,7,12,16,17,19,20,27000000,2018-04-28
30,825,3,9,12,15,21,36,33,25700000,2018-04-24
30,824,3,16,18,31,36,38,37,24300000,2018-04-21
30,823,9,16,22,25,30,31,33,22900000,2018-04-17
30,822,2,4,9,19,22,37,26,21400000,2018-04-14
30,821,2,8,28,32,36,39,5,20200000,2018-04-10
30,820,2,3,8,16,20,30,31,18600000,2018-04-07
30,819,6,11,19,26,30,37,22,17400000,2018-04-03
30,818,3,5,23,28,33,34,2,16300000,2018-03-31
30,817,2,6,11,18,27,32,5,15200000,2018-03-27
30,816,14,22,25,26,29,36,3,14000000,2018-03-24
30,815,1,12,14,26,28,30,32,12800000,2018-03-20
30,814,3,13,16,24,29,37,26,11600000,2018-03-17
30,813,1,3,11,16,20,22,29,10500000,2018-03-13
30,812,3,22,25,28,30,36,10,9500000,2018-03-10
30,811,5,7,13,26,30,33,31,8500000,2018-03-06
30,810,10,17,28,34,36,38,26,7100000,2018-03-03
30,809,3,13,17,27,36,37,29,6000000,2018-02-27
30,808,8,12,13,15,24,26,16,5400000,2018-02-24
30,807,12,26,29,33,37,38,5,5300000,2018-02-20
30,806,4,9,24,25,34,38,39,5200000,2018-02-17
30,805,8,9,14,19,27,34,39,5100000,2018-02-13
30,804,5,19,23,28,29,39,35,5000000,2018-02-10
30,803,2,5,21,27,28,36,31,5200000,2018-02-06
30,802,2,4,8,33,34,36,26,5100000,2018-02-03
30,801,10,12,15,19,20,21,29,5000000,2018-01-30
30,800,7,8,12,23,26,29,3,9500000,2018-01-27
30,799,12,18,23,24,28,32,15,8500000,2018-01-23
30,798,9,14,15,26,34,37,23,7500000,2018-01-20
30,797,8,15,23,25,30,36,33,6500000,2018-01-16
30,796,11,13,16,27,36,39,29,5400000,2018-01-13
30,795,2,10,13,35,36,38,17,5300000,2018-01-09
30,794,5,14,20,26,30,37,24,5200000,2018-01-06
30,793,2,6,8,14,19,29,5,5100000,2018-01-02
30,792,5,7,8,9,27,28,16,5000000,2017-12-30
30,791,3,8,20,25,31,34,22,35000000,2017-12-26
30,790,3,4,5,10,17,29,25,33000000,2017-12-23
30,789,2,6,7,11,26,31,18,31700000,2017-12-19
30,788,2,6,15,24,31,36,37,30000000,2017-12-16
30,787,5,12,18,33,34,38,11,28600000,2017-12-12
30,786,9,10,14,20,23,36,5,27000000,2017-12-09
30,785,1,4,5,12,17,36,26,25500000,2017-12-05
30,784,12,15,23,33,37,39,6,24000000,2017-12-02
30,783,4,10,22,27,30,35,19,23000000,2017-11-28
30,782,5,6,20,22,24,26,3,21500000,2017-11-25
30,781,1,7,10,14,22,36,17,20500000,2017-11-21
30,780,3,15,20,24,31,39,10,19000000,2017-11-18
30,779,10,18,19,21,32,39,35,18000000,2017-11-14
30,778,10,16,18,19,23,38,8,16500000,2017-11-11
30,777,7,13,23,24,32,34,12,15500000,2017-11-07
30,776,7,16,21,29,38,39,12,14500000,2017-11-04
30,775,4,11,17,23,30,36,31,13500000,2017-10-31
30,774,2,3,13,15,33,34,19,12000000,2017-10-28
30,773,10,11,15,16,34,38,8,11000000,2017-10-24
30,772,4,19,23,26,30,34,17,10000000,2017-10-21
30,771,5,12,18,23,26,38,3,9000000,2017-10-17
30,770,7,12,20,25,26,29,3,8000000,2017-10-14
30,769,1,4,9,14,16,36,3,7000000,2017-10-10
30,768,16,22,26,32,33,38,31,6000000,2017-10-07
30,767,6,9,13,20,35,37,32,5500000,2017-10-03
30,766,6,21,22,26,27,34,30,5400000,2017-09-30
30,765,9,13,26,28,33,38,7,5300000,2017-09-26
30,764,15,20,21,24,32,33,14,5200000,2017-09-23
30,763,12,21,25,27,29,32,38,5100000,2017-09-19
30,762,4,7,13,23,25,33,21,5000000,2017-09-16
30,761,2,13,19,25,37,38,15,5000000,2017-09-12
30,760,1,4,7,15,23,29,20,13000000,2017-09-09
30,759,1,8,9,11,30,35,34,12000000,2017-09-05
30,758,6,8,10,25,36,39,11,10500000,2017-09-02
30,757,3,10,15,18,36,39,38,9500000,2017-08-29
30,756,1,13,22,31,32,34,10,8500000,2017-08-26
30,755,5,9,12,19,28,33,29,7500000,2017-08-22
30,754,4,6,10,11,16,19,32,6500000,2017-08-19
30,753,2,5,7,16,18,38,33,5500000,2017-08-15
30,752,5,22,26,29,33,34,13,5400000,2017-08-12
30,751,15,23,26,27,33,34,14,5300000,2017-08-08
30,750,14,16,24,32,36,37,2,5200000,2017-08-05
30,749,6,9,11,27,28,38,8,5100000,2017-08-01
30,748,2,3,7,8,11,16,30,5000000,2017-07-29
30,747,4,8,11,22,36,37,10,5000000,2017-07-25
30,746,9,11,19,27,33,37,7,11500000,2017-07-22
30,745,14,15,21,25,36,39,34,10500000,2017-07-18
30,744,2,4,7,10,11,18,20,9500000,2017-07-15
30,743,12,20,23,27,31,39,25,8500000,2017-07-11
30,742,2,6,7,13,16,23,26,7500000,2017-07-08
30,741,2,8,22,30,34,36,39,6500000,2017-07-04
30,740,3,13,15,27,33,39,16,5500000,2017-07-01
30,739,17,20,22,29,31,34,15,5400000,2017-06-27
30,738,2,7,14,16,23,27,35,5300000,2017-06-24
30,737,8,16,20,28,30,34,39,5200000,2017-06-20
30,736,2,4,11,14,25,37,31,5100000,2017-06-17
30,735,5,16,21,30,32,37,13,5000000,2017-06-13
30,734,2,3,13,26,30,31,34,5200000,2017-06-10
30,733,2,5,6,13,28,31,27,5100000,2017-06-06
30,732,4,10,13,23,36,39,7,5000000,2017-06-03
30,731,1,6,28,29,36,38,2,23500000,2017-05-30
30,730,1,17,25,27,28,38,3,22500000,2017-05-27
30,729,9,14,17,18,30,35,19,21500000,2017-05-23
30,728,8,9,16,29,36,37,19,20000000,2017-05-20
30,727,1,4,12,21,31,38,20,18500000,2017-05-16
30,726,11,16,24,33,37,38,4,17500000,2017-05-13
30,725,2,11,17,20,28,34,31,16500000,2017-05-09
30,724,11,16,24,32,34,35,38,15000000,2017-05-06
30,723,2,11,20,25,26,38,22,14000000,2017-05-02
30,722,9,13,16,20,22,34,31,13000000,2017-04-29
30,721,8,17,22,27,31,38,3,12000000,2017-04-25
30,720,2,5,16,18,21,27,35,11000000,2017-04-22
30,719,7,15,28,29,34,37,20,10000000,2017-04-18
30,718,2,4,9,12,19,21,32,9000000,2017-04-15
30,717,22,25,26,29,33,38,5,8000000,2017-04-11
30,716,1,15,25,30,34,36,9,7000000,2017-04-08
30,715,2,11,15,18,19,25,12,6000000,2017-04-04
30,714,15,17,23,24,26,27,2,5500000,2017-04-01
30,713,2,6,11,24,32,35,22,5400000,2017-03-28
30,712,1,6,9,25,32,35,4,5300000,2017-03-25
30,711,6,13,14,18,24,26,5,5200000,2017-03-21
30,710,8,17,23,27,33,38,1,5100000,2017-03-18
30,709,14,21,22,23,25,32,17,5000000,2017-03-14
30,708,5,17,20,21,28,32,3,30500000,2017-03-11
30,707,9,18,21,23,24,38,31,29000000,2017-03-07
30,706,4,26,32,34,38,39,7,27500000,2017-03-04
30,705,2,7,8,16,32,38,21,26500000,2017-02-28
30,704,6,13,20,27,28,35,15,25000000,2017-02-25
30,703,1,8,9,13,36,37,22,24000000,2017-02-21
30,702,2,8,12,22,23,30,11,23000000,2017-02-18
30,701,11,24,26,27,35,38,23,21500000,2017-02-14
30,700,2,5,8,18,25,31,22,20500000,2017-02-11
30,699,5,6,20,26,28,37,35,19500000,2017-02-07
30,698,5,9,20,33,34,39,18,18000000,2017-02-04
30,697,3,4,11,36,38,39,5,17000000,2017-01-31
30,696,4,5,22,23,24,36,30,16000000,2017-01-28
30,695,6,13,15,28,31,34,17,15000000,2017-01-24
30,694,8,11,15,20,36,37,31,14000000,2017-01-21
30,693,16,18,22,25,32,37,30,12500000,2017-01-17
30,692,3,15,26,27,35,37,30,11500000,2017-01-14
30,691,1,2,6,13,29,32,36,10500000,2017-01-10
30,690,16,17,18,23,30,34,4,9500000,2017-01-07
30,689,11,18,22,28,30,38,9,8500000,2017-01-03
30,688,1,3,10,11,29,39,26,7500000,2016-12-31
30,687,21,22,26,30,35,36,16,6000000,2016-12-27
30,686,2,10,24,30,38,39,7,5500000,2016-12-24
30,685,7,22,24,25,28,29,2,5400000,2016-12-20
30,684,2,6,15,20,22,30,23,5300000,2016-12-17
30,683,8,12,19,30,31,39,25,5200000,2016-12-13
30,682,7,13,17,23,28,31,30,5100000,2016-12-10
30,681,8,15,23,24,25,32,34,5000000,2016-12-06
30,680,1,7,14,17,33,35,34,17500000,2016-12-03
30,679,4,6,9,16,35,36,38,16000000,2016-11-29
30,678,1,12,13,26,38,39,20,15000000,2016-11-26
30,677,1,4,6,12,16,20,37,14000000,2016-11-22
30,676,1,7,10,11,18,19,28,13000000,2016-11-19
30,675,1,13,15,26,32,39,10,12000000,2016-11-15
30,674,7,23,31,35,37,39,20,11000000,2016-11-12
30,673,18,24,28,29,34,38,14,10000000,2016-11-08
30,672,1,11,12,22,33,34,27,9000000,2016-11-05
30,671,7,10,12,27,32,39,15,8000000,2016-11-01
30,670,9,10,19,21,28,33,3,7000000,2016-10-29
30,669,5,11,16,20,30,34,27,6000000,2016-10-25
30,668,2,18,19,26,28,31,15,5500000,2016-10-22
30,667,4,8,15,21,26,32,37,5400000,2016-10-18
30,666,13,17,20,25,35,38,10,5300000,2016-10-15
30,665,4,6,21,25,34,36,9,5200000,2016-10-11
30,664,4,5,7,14,21,26,8,5100000,2016-10-08
30,663,8,19,20,25,26,39,36,5000000,2016-10-04
30,662,3,8,11,16,18,34,15,5400000,2016-10-01
30,661,12,13,16,20,21,22,33,5300000,2016-09-27
30,660,4,8,18,25,27,28,14,5200000,2016-09-24
30,659,6,13,21,27,32,36,29,5100000,2016-09-20
30,658,4,14,16,18,27,36,30,5000000,2016-09-17
30,657,7,11,17,31,34,38,5,20000000,2016-09-13
30,656,5,6,7,18,36,39,14,18500000,2016-09-10
30,655,7,15,19,26,36,38,14,17500000,2016-09-06
30,654,2,23,27,28,36,37,5,16000000,2016-09-03
30,653,11,16,26,27,35,36,8,15000000,2016-08-30
30,652,3,7,10,17,28,37,22,14000000,2016-08-27
30,651,3,24,25,27,34,35,22,13000000,2016-08-23
30,650,1,4,10,25,30,33,8,12000000,2016-08-20
30,649,13,15,29,31,32,36,23,11000000,2016-08-16
30,648,4,12,21,30,33,36,10,10000000,2016-08-13
30,647,1,10,26,29,33,38,20,9000000,2016-08-09
30,646,10,12,13,18,27,36,8,8000000,2016-08-06
30,645,1,15,17,29,30,35,20,7000000,2016-08-02
30,644,2,5,11,16,27,32,10,6000000,2016-07-30
30,643,11,14,16,28,38,39,37,5500000,2016-07-26
30,642,13,18,21,31,33,36,25,5400000,2016-07-23
30,641,11,24,25,27,30,34,36,5300000,2016-07-19
30,640,4,14,17,22,26,29,30,5200000,2016-07-16
30,639,6,7,11,27,37,39,12,5100000,2016-07-12
30,638,2,6,14,21,31,35,32,5000000,2016-07-09
30,637,3,4,8,26,29,33,2,26000000,2016-07-05
30,636,1,7,8,10,22,33,28,24500000,2016-07-02
30,635,5,8,11,14,17,28,26,23500000,2016-06-28
30,634,10,15,22,27,31,32,17,22000000,2016-06-25
30,633,3,8,12,29,32,33,5,21000000,2016-06-21
30,632,3,4,22,24,29,32,23,20000000,2016-06-18
30,631,2,5,7,15,19,23,28,19000000,2016-06-14
30,630,8,9,13,14,21,30,29,18000000,2016-06-11
30,629,7,8,18,19,23,31,2,17000000,2016-06-07
30,628,4,15,16,21,23,26,6,15900000,2016-06-04
30,627,13,16,24,28,37,39,5,15000000,2016-05-31
30,626,2,4,8,20,27,31,30,14000000,2016-05-28
30,625,5,9,14,18,20,25,1,13000000,2016-05-24
30,624,4,28,29,33,34,38,15,12000000,2016-05-21
30,623,10,11,15,16,32,35,30,11000000,2016-05-17
30,622,4,22,23,31,32,38,36,10000000,2016-05-14
30,621,7,11,14,16,17,23,22,9000000,2016-05-10
30,620,4,6,14,26,36,37,30,8000000,2016-05-07
30,619,1,13,15,26,29,34,24,7000000,2016-05-03
30,618,3,6,12,20,23,37,19,6000000,2016-04-30
30,617,4,5,6,13,31,32,30,5500000,2016-04-26
30,616,1,2,5,13,18,20,30,5400000,2016-04-23
30,615,5,8,14,22,26,28,12,5300000,2016-04-19
30,614,7,12,13,14,21,29,8,5200000,2016-04-16
30,613,3,4,19,27,36,37,34,5100000,2016-04-12
30,612,1,8,18,20,22,37,3,5000000,2016-04-09
30,611,23,26,28,31,32,36,24,14000000,2016-04-05
30,610,4,8,9,12,21,24,7,13000000,2016-04-02
30,609,9,21,24,28,31,36,33,12000000,2016-03-29
30,608,8,10,12,21,22,31,15,11000000,2016-03-26
30,607,9,21,28,30,31,38,34,10000000,2016-03-22
30,606,1,15,23,26,29,30,10,9000000,2016-03-19
30,605,12,15,21,22,35,36,10,8000000,2016-03-15
30,604,6,20,24,35,36,37,15,7400000,2016-03-12
30,603,6,7,9,22,28,35,5,6600000,2016-03-08
30,602,10,12,16,28,32,38,20,5700000,2016-03-05
30,601,8,24,25,26,30,32,35,5600000,2016-03-01
30,600,2,3,9,29,30,38,14,5500000,2016-02-27
30,599,7,15,22,27,37,39,21,5400000,2016-02-23
30,598,5,7,13,27,28,30,4,5200000,2016-02-20
30,597,3,4,8,12,27,38,24,5000000,2016-02-16
30,596,2,3,15,27,30,35,33,7000000,2016-02-13
30,595,2,5,15,18,21,22,6,6500000,2016-02-09
30,594,4,6,11,18,19,22,12,6000000,2016-02-06
30,593,14,19,21,25,34,35,28,5500000,2016-02-02
30,592,2,3,7,22,25,30,6,5000000,2016-01-30
30,591,6,17,20,24,26,28,3,20500000,2016-01-26
30,590,1,10,19,24,32,35,36,19000000,2016-01-23
30,589,10,12,20,23,31,36,15,18000000,2016-01-19
30,588,11,13,27,29,30,31,34,16500000,2016-01-16
30,587,2,10,13,26,35,39,7,15500000,2016-01-12
30,586,7,17,28,34,37,39,6,14500000,2016-01-09
30,585,5,6,13,31,33,39,11,13500000,2016-01-05
30,584,8,10,19,29,37,39,31,12000000,2016-01-02
30,583,1,6,8,10,27,34,29,11000000,2015-12-29
30,582,7,11,15,18,34,35,6,10000000,2015-12-26
30,581,9,11,22,29,31,33,32,9000000,2015-12-22
30,580,5,18,19,20,27,35,33,8500000,2015-12-19
30,579,11,14,15,19,27,35,17,8000000,2015-12-15
30,578,2,4,15,22,25,38,30,7500000,2015-12-12
30,577,15,17,23,28,30,35,22,7000000,2015-12-08
30,576,1,4,17,19,30,35,22,6500000,2015-12-05
30,575,4,5,10,19,22,37,2,6000000,2015-12-01
30,574,6,22,24,25,26,28,12,5500000,2015-11-28
30,573,6,18,19,20,25,36,26,5000000,2015-11-24
30,572,2,11,14,16,29,32,7,44500000,2015-11-21
30,571,6,11,16,20,22,31,35,43000000,2015-11-17
30,570,4,6,12,24,37,38,27,42000000,2015-11-14
30,569,5,8,10,11,12,39,3,40500000,2015-11-10
30,568,11,20,25,26,31,35,27,39000000,2015-11-07
30,567,1,7,10,15,19,39,28,38000000,2015-11-03
30,566,2,6,22,25,26,33,7,36500000,2015-10-31
30,565,1,3,12,16,20,22,8,35500000,2015-10-27
30,564,2,4,17,20,24,33,8,34500000,2015-10-24
30,563,5,12,21,23,34,38,9,33000000,2015-10-20
30,562,9,13,24,25,29,38,30,32000000,2015-10-17
30,561,1,11,24,26,32,33,12,31000000,2015-10-13
30,560,6,10,14,15,29,33,17,29500000,2015-10-10
30,559,27,30,32,35,36,38,15,28500000,2015-10-06
30,558,7,14,16,25,31,38,4,27000000,2015-10-03
30,557,1,3,16,26,33,34,8,26000000,2015-09-29
30,556,8,19,21,29,33,39,20,25000000,2015-09-26
30,555,1,9,20,27,32,36,30,24000000,2015-09-22
30,554,1,14,21,24,29,32,3,22500000,2015-09-19
30,553,2,3,8,9,12,37,33,21500000,2015-09-15
30,552,10,12,16,22,31,34,24,20500000,2015-09-12
30,551,7,10,11,13,23,26,25,19500000,2015-09-08
30,550,10,13,19,21,24,25,1,18500000,2015-09-05
30,549,10,14,16,22,27,28,31,17500000,2015-09-01
30,548,10,15,24,31,36,38,12,16500000,2015-08-29
30,547,1,3,12,19,30,35,37,15500000,2015-08-25
30,546,4,8,10,17,18,36,39,14500000,2015-08-22
30,545,7,20,25,26,36,37,6,13500000,2015-08-18
30,544,2,4,5,20,22,26,38,12500000,2015-08-15
30,543,9,10,16,17,18,34,15,11500000,2015-08-11
30,542,1,12,17,22,30,31,4,11000000,2015-08-08
30,541,12,19,22,24,28,38,4,10000000,2015-08-04
30,540,4,5,32,34,37,38,2,8500000,2015-08-01
30,539,12,20,24,28,38,39,18,7500000,2015-07-28
30,538,4,19,27,28,36,38,9,6500000,2015-07-25
30,537,7,10,23,27,31,39,16,6000000,2015-07-21
30,536,11,14,19,23,31,37,8,5500000,2015-07-18
30,535,5,15,20,21,24,31,12,5400000,2015-07-14
30,534,14,15,20,23,26,38,34,5300000,2015-07-11
30,533,5,8,17,21,26,34,10,5200000,2015-07-07
30,532,9,15,23,24,31,35,3,5100000,2015-07-04
30,531,8,9,15,19,29,39,14,5000000,2015-06-30
30,530,3,10,13,20,33,38,35,41000000,2015-06-27
30,529,10,22,23,25,33,39,20,39000000,2015-06-23
30,528,18,20,23,24,26,35,16,38000000,2015-06-20
30,527,10,25,26,30,36,38,19,37000000,2015-06-16
30,526,8,14,17,28,29,31,7,36000000,2015-06-13
30,525,4,20,22,28,31,34,7,34500000,2015-06-09
