SORTEO,R1,R2,R3,R4,R5,FECHA
22645,1,1,9,8,2,2018-09-26
22643,5,5,9,7,8,2018-09-26
22642,6,2,2,2,9,2018-09-25
22634,8,4,2,9,7,2018-09-24
22625,5,3,8,1,5,2018-09-22
22615,6,0,0,1,3,2018-09-20
22611,8,6,6,6,7,2018-09-19
22590,9,9,0,8,0,2018-09-15
22556,4,6,1,9,2,2018-09-08
22549,3,1,4,8,4,2018-09-07
22537,6,5,9,7,7,2018-09-04
22530,9,5,4,7,2,2018-09-03
22524,5,2,6,6,3,2018-09-02
22522,5,9,7,4,5,2018-09-01
22518,4,3,5,1,6,2018-09-01
22503,5,9,5,6,3,2018-08-29
22491,9,3,8,5,0,2018-08-26
22484,1,9,0,0,8,2018-08-25
22473,4,3,8,5,9,2018-08-23
22470,4,1,7,8,9,2018-08-22
22454,6,7,1,9,1,2018-08-19
22457,7,6,5,1,0,2018-08-19
22435,3,4,3,9,4,2018-08-15
22432,4,5,4,2,5,2018-08-14
22429,5,7,7,6,6,2018-08-14
22425,8,6,8,6,1,2018-08-13
22421,3,9,2,0,4,2018-08-12
22420,7,0,7,0,0,2018-08-12
22411,0,1,8,3,5,2018-08-10
22395,1,1,1,7,5,2018-08-07
22386,7,0,2,8,0,2018-08-05
22380,5,9,6,0,8,2018-08-04
22369,5,5,5,4,5,2018-08-02
22359,1,6,4,5,0,2018-07-31
22353,7,8,6,6,0,2018-07-30
22355,5,2,2,3,7,2018-07-30
22350,3,2,4,9,1,2018-07-29
22349,7,9,8,0,9,2018-07-29
22347,3,2,0,1,4,2018-07-28
22346,5,2,9,2,5,2018-07-28
22324,2,1,9,5,5,2018-07-24
22319,7,0,2,8,6,2018-07-23
22296,2,3,2,2,4,2018-07-18
22295,6,6,3,8,5,2018-07-18
22279,5,9,5,6,3,2018-07-15
22263,0,6,8,5,0,2018-07-12
22254,3,3,2,7,8,2018-07-10
22240,9,8,0,1,0,2018-07-07
22239,6,9,6,6,4,2018-07-07
22236,8,4,9,3,5,2018-07-06
22228,8,0,3,6,6,2018-07-05
22224,8,9,3,1,0,2018-07-04
22213,3,1,8,6,2,2018-07-02
22209,3,1,3,8,3,2018-07-01
22191,8,5,4,1,2,2018-06-27
22183,2,1,0,7,5,2018-06-26
22182,8,2,1,2,5,2018-06-25
22175,7,6,5,4,0,2018-06-24
22171,9,9,8,1,3,2018-06-23
22158,7,1,8,2,3,2018-06-21
22156,6,0,5,9,9,2018-06-20
22148,4,3,8,3,9,2018-06-19
22128,9,4,8,1,5,2018-06-15
22111,8,6,5,1,5,2018-06-11
22112,0,3,7,4,3,2018-06-11
22078,2,7,7,1,1,2018-06-05
22073,2,5,3,6,6,2018-06-04
22066,7,6,5,4,0,2018-06-02
22062,8,4,1,4,6,2018-06-01
22054,2,0,7,4,5,2018-05-31
22052,9,3,2,1,4,2018-05-30
22035,2,8,8,0,3,2018-05-27
22033,2,7,3,8,1,2018-05-27
22031,4,4,5,2,6,2018-05-26
22028,2,7,9,3,8,2018-05-26
22025,5,1,9,1,6,2018-05-25
22022,5,0,7,3,3,2018-05-24
22013,1,0,9,0,6,2018-05-23
22014,4,4,2,4,0,2018-05-23
22009,0,9,0,3,2,2018-05-22
22006,9,9,8,1,3,2018-05-21
22003,1,3,8,0,8,2018-05-21
21986,5,9,7,4,8,2018-05-17
21979,6,5,2,9,3,2018-05-16
21978,3,0,0,6,3,2018-05-16
21969,8,6,1,1,5,2018-05-14
21966,0,0,5,1,2,2018-05-13
21954,2,4,2,5,4,2018-05-11
21952,4,0,2,2,8,2018-05-10
21946,5,3,8,1,5,2018-05-09
21943,0,0,7,0,1,2018-05-09
21928,5,6,2,4,4,2018-05-06
21929,5,2,2,3,7,2018-05-06
21923,4,5,5,3,9,2018-05-05
21921,1,1,4,8,7,2018-05-04
21909,0,1,2,4,9,2018-05-02
21908,5,8,6,6,7,2018-05-02
21898,8,2,3,6,9,2018-04-30
21897,5,4,1,8,5,2018-04-29
21896,3,5,6,4,5,2018-04-29
21895,3,2,6,0,1,2018-04-29
21887,5,6,3,7,3,2018-04-27
21885,5,9,3,3,8,2018-04-27
21884,4,4,0,7,0,2018-04-27
21879,5,7,5,8,9,2018-04-26
21878,4,4,9,8,9,2018-04-26
21876,7,1,3,1,3,2018-04-25
21850,3,5,5,9,5,2018-04-20
21841,9,5,9,9,1,2018-04-18
21832,5,5,3,4,4,2018-04-16
21829,0,5,1,9,1,2018-04-16
21812,2,0,0,9,5,2018-04-12
21810,9,3,2,1,4,2018-04-12
21803,0,1,5,8,3,2018-04-11
21794,3,2,0,1,4,2018-04-09
21787,8,3,8,2,1,2018-04-07
21776,6,4,2,9,7,2018-04-05
21770,9,7,1,4,7,2018-04-04
21749,0,5,0,0,2,2018-03-31
21748,9,3,8,4,7,2018-03-31
21750,4,6,7,5,9,2018-03-31
21741,2,3,7,2,5,2018-03-29
21739,9,0,8,8,0,2018-03-29
21738,9,2,7,5,9,2018-03-29
21736,7,1,2,8,7,2018-03-28
21728,9,3,6,2,5,2018-03-27
21710,3,3,9,2,0,2018-03-23
21702,7,2,2,6,9,2018-03-21
21696,4,7,7,3,9,2018-03-20
21691,5,6,9,7,3,2018-03-19
21688,7,6,2,6,4,2018-03-19
21684,2,7,8,0,1,2018-03-18
21674,3,5,4,1,8,2018-03-16
21676,5,8,6,1,4,2018-03-16
21677,1,0,0,3,4,2018-03-16
21671,4,2,3,1,5,2018-03-15
21669,6,5,2,6,3,2018-03-15
21666,0,1,3,0,6,2018-03-14
21653,5,5,0,8,0,2018-03-12
21647,5,6,4,7,9,2018-03-10
21642,4,5,0,4,5,2018-03-09
21640,4,3,7,9,9,2018-03-09
21637,3,1,4,8,8,2018-03-08
21633,5,3,2,7,6,2018-03-08
21622,8,4,9,6,5,2018-03-05
21618,3,9,5,3,4,2018-03-05
21585,3,6,1,7,2,2018-02-26
21583,2,5,3,9,6,2018-02-26
21587,2,0,7,4,5,2018-02-26
21580,7,3,6,2,3,2018-02-25
21581,9,7,2,7,6,2018-02-25
21577,6,8,6,6,7,2018-02-24
21574,4,6,3,2,2,2018-02-24
21572,8,8,0,0,1,2018-02-23
21560,3,7,3,9,7,2018-02-21
21537,5,6,2,4,4,2018-02-16
21528,6,9,4,6,8,2018-02-15
21525,1,4,8,8,3,2018-02-14
21516,6,3,7,3,8,2018-02-12
21505,1,8,0,4,0,2018-02-10
21503,0,3,1,9,1,2018-02-10
21489,3,2,2,5,8,2018-02-07
21490,3,4,3,5,4,2018-02-07
21471,1,3,7,7,3,2018-02-03
21466,7,2,2,6,3,2018-02-02
21455,3,0,2,2,5,2018-01-31
21450,3,2,4,9,1,2018-01-30
21449,7,9,7,6,6,2018-01-30
21445,0,7,6,1,1,2018-01-29
21412,8,6,8,6,1,2018-01-22
21406,0,3,5,0,6,2018-01-21
21404,1,5,6,6,0,2018-01-21
21389,2,0,6,6,7,2018-01-18
21383,1,7,6,1,6,2018-01-17
21382,5,9,2,2,2,2018-01-16
21379,2,0,1,4,4,2018-01-16
21375,0,0,8,6,0,2018-01-15
21377,1,9,4,2,7,2018-01-15
21372,8,9,2,8,6,2018-01-14
21369,7,9,6,4,0,2018-01-14
21355,4,0,1,6,9,2018-01-11
21346,7,4,1,3,6,2018-01-09
21345,4,5,8,1,2,2018-01-09
21333,9,0,7,6,0,2018-01-07
21323,2,6,6,0,3,2018-01-05
21300,0,5,6,1,6,2017-12-31
21299,1,6,2,4,8,2017-12-31
21285,2,0,0,0,7,2017-12-28
21257,7,9,7,8,7,2017-12-22
21253,2,0,9,1,7,2017-12-22
21246,2,6,9,9,1,2017-12-20
21247,9,4,3,0,0,2017-12-20
21242,1,1,0,5,3,2017-12-19
21240,6,5,2,9,3,2017-12-19
21222,4,1,6,1,4,2017-12-15
21202,9,2,6,5,8,2017-12-11
21197,7,6,2,3,6,2017-12-10
21195,8,8,4,2,0,2017-12-10
21186,5,4,9,7,9,2017-12-08
21175,9,7,4,8,5,2017-12-06
21171,9,0,4,6,5,2017-12-05
21166,3,0,4,2,0,2017-12-04
21157,7,0,9,4,7,2017-12-02
21151,0,6,5,7,5,2017-12-01
21145,7,3,6,0,4,2017-11-30
21142,3,8,1,3,0,2017-11-29
21126,4,5,6,5,7,2017-11-26
21116,7,9,3,9,7,2017-11-24
21112,3,1,7,5,8,2017-11-23
21103,1,4,6,8,2,2017-11-22
21099,3,7,1,2,9,2017-11-21
21093,9,8,0,7,0,2017-11-20
21087,5,4,2,0,8,2017-11-18
21073,3,0,4,5,2,2017-11-16
21071,5,9,7,4,8,2017-11-15
21068,7,7,3,0,2,2017-11-15
21066,2,6,6,0,3,2017-11-14
21045,2,6,9,2,3,2017-11-10
21020,3,0,1,3,2,2017-11-05
21015,3,4,3,9,4,2017-11-04
21010,4,4,2,4,0,2017-11-03
21007,1,0,9,0,6,2017-11-02
20973,5,1,2,8,7,2017-10-27
20971,3,7,1,2,9,2017-10-26
20969,8,9,3,1,0,2017-10-26
20955,4,2,0,1,9,2017-10-23
20940,7,6,1,8,2,2017-10-20
20925,7,1,2,2,2,2017-10-17
20922,2,6,9,6,5,2017-10-16
20921,7,9,6,5,7,2017-10-16
20920,7,2,9,5,6,2017-10-16
20918,0,2,4,3,8,2017-10-16
20914,5,1,6,5,2,2017-10-15
20917,9,2,0,6,8,2017-10-15
20916,2,4,5,2,6,2017-10-15
20891,7,3,0,2,4,2017-10-10
20869,2,8,8,2,7,2017-10-06
20868,7,6,3,4,1,2017-10-06
20861,9,5,0,8,1,2017-10-04
20860,7,9,8,3,9,2017-10-04
20859,2,8,5,1,7,2017-10-04
20853,5,2,8,2,3,2017-10-03
20850,2,9,7,5,7,2017-10-02
20846,7,8,5,7,5,2017-10-01
20842,6,1,7,5,6,2017-09-30
20837,6,7,8,5,4,2017-09-29
20835,0,4,0,5,7,2017-09-29
20832,1,5,8,7,9,2017-09-28
20825,8,6,0,2,1,2017-09-27
20818,0,0,9,9,2,2017-09-26
20794,5,8,4,4,7,2017-09-21
20791,7,5,0,3,6,2017-09-20
20785,4,0,7,6,8,2017-09-19
20783,7,6,2,6,4,2017-09-19
20782,9,5,3,0,6,2017-09-18
20780,9,2,2,3,5,2017-09-18
20779,1,2,6,1,1,2017-09-18
20776,7,7,4,4,0,2017-09-17
20773,5,9,0,4,4,2017-09-17
20771,1,7,5,0,4,2017-09-16
20764,5,4,2,0,8,2017-09-15
20767,3,6,2,2,1,2017-09-15
20757,3,6,8,5,3,2017-09-13
20752,0,0,2,2,6,2017-09-12
20708,4,5,5,6,9,2017-09-04
20704,3,0,1,3,2,2017-09-03
20689,6,7,9,2,9,2017-08-31
20687,1,5,6,6,0,2017-08-30
20668,4,0,5,4,4,2017-08-27
20655,2,1,7,3,9,2017-08-24
20648,4,6,6,6,8,2017-08-23
20637,7,3,3,8,5,2017-08-20
20624,1,7,1,2,1,2017-08-18
20622,4,3,8,5,9,2017-08-17
20613,7,5,1,0,5,2017-08-16
20609,5,9,3,3,8,2017-08-15
20577,0,9,2,9,4,2017-08-08
20566,9,4,5,5,1,2017-08-06
20553,3,2,7,3,5,2017-08-04
20551,5,5,4,2,0,2017-08-03
20543,1,3,6,2,7,2017-08-02
20534,4,7,4,4,0,2017-07-31
20516,6,1,1,4,1,2017-07-27
20509,0,2,4,3,6,2017-07-26
20502,8,9,4,9,0,2017-07-24
20499,7,3,6,0,4,2017-07-24
20498,4,7,7,5,6,2017-07-24
20493,6,4,6,9,7,2017-07-23
20495,7,3,2,6,1,2017-07-23
20480,9,0,8,2,3,2017-07-20
20476,8,0,9,1,6,2017-07-19
20465,8,9,4,0,2,2017-07-17
20459,5,3,5,9,1,2017-07-16
20456,1,6,5,3,6,2017-07-15
20454,1,0,8,7,3,2017-07-15
20453,0,1,5,4,3,2017-07-15
20450,8,8,4,8,3,2017-07-14
20430,3,6,5,2,7,2017-07-10
20429,6,5,0,3,8,2017-07-10
20422,0,2,3,7,6,2017-07-08
20417,9,5,8,1,5,2017-07-07
20409,8,4,4,3,2,2017-07-06
20405,2,5,0,5,7,2017-07-05
20406,1,9,5,7,9,2017-07-05
20396,2,1,9,5,5,2017-07-03
20391,0,3,7,1,1,2017-07-02
20379,9,7,4,8,5,2017-06-30
20366,7,8,7,8,4,2017-06-26
20360,1,6,3,2,7,2017-06-24
20327,8,0,3,6,6,2017-06-13
20316,5,4,3,1,8,2017-06-10
20315,5,8,7,1,4,2017-06-09
20309,6,4,2,1,9,2017-06-07
20302,9,9,9,2,1,2017-06-05
20297,6,0,3,2,7,2017-06-03
20291,2,5,9,0,7,2017-06-01
20286,8,8,7,4,7,2017-05-31
20288,3,4,5,3,5,2017-05-31
20282,5,1,7,3,2,2017-05-29
20273,2,2,3,5,5,2017-05-26
20259,9,1,9,1,7,2017-05-22
20253,1,3,8,0,8,2017-05-20
20250,2,9,6,1,0,2017-05-19
20241,2,7,6,7,6,2017-05-16
20240,7,3,0,2,4,2017-05-15
20231,6,8,8,8,4,2017-05-12
20222,1,7,5,9,0,2017-05-09
20197,6,4,2,6,9,2017-05-01
20190,1,1,2,6,1,2017-04-29
20180,3,3,1,5,3,2017-04-25
20171,8,8,3,9,7,2017-04-22
20166,7,3,3,8,5,2017-04-21
20163,0,5,5,3,8,2017-04-20
20154,0,7,4,5,8,2017-04-17
20151,6,9,4,6,8,2017-04-16
20150,2,2,3,5,5,2017-04-15
20146,8,8,7,5,7,2017-04-14
20143,7,6,3,4,1,2017-04-13
20142,7,9,3,4,5,2017-04-13
20140,5,8,2,2,1,2017-04-12
20139,8,2,3,6,9,2017-04-12
20129,0,0,5,8,7,2017-04-08
20097,3,6,8,4,2,2017-03-29
20092,8,8,4,8,3,2017-03-27
20083,2,2,0,4,7,2017-03-24
20079,8,2,0,4,7,2017-03-23
20072,0,2,6,7,6,2017-03-20
20055,2,9,7,0,9,2017-03-15
20045,5,2,0,9,9,2017-03-11
20031,8,5,7,6,6,2017-03-07
20029,8,9,7,6,1,2017-03-06
20028,0,7,6,1,4,2017-03-06
20025,4,0,5,4,3,2017-03-05
20020,3,7,8,7,8,2017-03-03
20013,8,2,9,1,6,2017-03-01
20010,7,6,5,1,0,2017-02-28
20009,1,0,7,3,7,2017-02-27
20000,6,6,8,5,4,2017-02-24
19990,4,7,6,6,9,2017-02-21
19968,2,7,6,7,6,2017-02-14
19959,7,3,8,6,4,2017-02-11
19956,5,3,8,9,3,2017-02-10
19955,2,9,6,7,6,2017-02-09
19947,3,3,7,9,4,2017-02-07
19912,4,4,5,2,6,2017-01-26
19911,5,1,2,8,7,2017-01-26
19902,2,2,0,4,7,2017-01-23
19897,0,8,5,2,6,2017-01-21
19895,8,1,0,7,3,2017-01-20
19891,6,0,3,2,7,2017-01-19
19890,0,3,5,0,6,2017-01-19
19889,0,5,6,1,6,2017-01-18
19873,7,2,9,5,6,2017-01-13
19872,2,3,9,9,5,2017-01-13
19857,8,8,5,4,3,2017-01-08
19854,6,4,2,1,9,2017-01-07
19840,6,9,3,9,9,2017-01-02
19832,0,0,4,7,4,2016-12-30
19828,3,7,6,3,9,2016-12-29
19827,6,6,5,8,5,2016-12-29
19825,0,8,5,0,3,2016-12-28
19808,0,2,4,3,8,2016-12-22
19806,8,3,6,2,8,2016-12-22
19805,3,9,3,9,3,2016-12-21
19802,1,9,2,6,4,2016-12-20
19797,9,8,2,2,5,2016-12-19
19794,3,5,4,5,1,2016-12-18
19752,8,1,6,2,6,2016-12-04
19741,5,5,7,1,1,2016-11-30
19734,4,0,7,8,1,2016-11-28
19733,8,9,9,3,5,2016-11-27
19720,5,3,8,8,4,2016-11-23
19718,6,2,6,1,8,2016-11-22
